(de) tempo parcial	envolvendo menos do que o tempo normal ou habitual para uma atividade
(militar) ocupação	o controle de um país por forças militares de uma potência estrangeira
1 de janeiro	(Igreja Católica Romana) um dia santo de obrigação; feriado em varios paises
12	o número cardinal que é a soma de onze e um
1º	indicando a unidade inicial de uma série
200	sendo dez mais que cento e noventa
24 horas	aberto ou operando a noite toda
3D	tendo uma forma ou aparência tridimensional
40	o número cardinal que é o produto de dez e quatro
5	sendo um mais de quatro
6	uma quantidade consistindo de seis itens ou unidades
6 de agosto	(Cristianismo) um festival da igreja realizado em comemoração da Transfiguração de Jesus
8 de dezembro	dia santo da igreja católica celebrado pela primeira vez em 1854
87	sendo sete mais que oitenta
A Haia	o site da residência real e a capital de facto na parte ocidental dos Países Baixos; sede do Tribunal Internacional de Justiça
A.C.	antes da era cristã; usado após datas antes do suposto ano Cristo nasceu
AEC	do período de antes da Era comum; preferido por alguns escritores que não são cristãos
AIEA	a agência das Nações Unidas relacionada com energia atómica
Abecedarianismo	uma seita de anabatistas do século 16 centrada na Alemanha, que tinha um desprezo absoluto pelo conhecimento humano
Abissínia	A Etiópia (em ge'ez: ኢትዮጵያ ʾĪtyōṗṗyā), um país encravado no Chifre da África, é um dos países mais antigos do mundo. Oficialmente a República Federal Democrática da Etiópia é a segunda nação mais populosa da África e a décima maior em área. O país faz fronteira com o Sudão a oeste, Djibouti e Eritreia ao norte, Somália ao leste, e Quênia ao sul. Sua capital é a cidade de Addis Ababa.
Abril	O mês seguinte a março e anterior a maio
Acre	Era um território do oeste do Brasil, entre a Bolívia e Peru. Atualmente (desde 1962) um Estado do Brasil.
Adriático	Um braço do Mediterrâneo entre a Eslovénia e a Croácia e Montenegro e a Albânia no leste e a Itália no oeste
Afeganistão	O Afeganistão (oficialmente, República Islâmica do Afeganistão, د افغانستان اسلامي جمهوریت em pachto, جمهوری اسلامی افغانستان em persa) é um país sem saída para o mar no centro da Ásia. É comumente designado como um país da Ásia central, da Ásia meridional e do Oriente Médio. Possui vínculos religiosos, etno-lingüísticos e geográficos com a maioria dos países vizinhos. Limita com o Paquistão ao sul e ao leste, com o Irão a oeste, com o Turcomenistão, o Uzbequistão e o Tadjiquistão ao norte, e com a China a nordeste. O nome do país significa "terra dos afegãos".
